name,mark,director,release_time,length,imdb_link,cover_link,summary
霸王别姬,9.5,陈凯歌,上映日期:,171 分钟,http://www.imdb.com/title/tt0106332,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg,"
                                　　段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。
                                    "
大话西游之大圣娶亲,9.2,刘镇伟,语言:,2017-04-13(中国大陆重映),http://www.imdb.com/title/tt0114996,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,"
                                　　至尊宝（周星驰 饰）被月光宝盒带回到五百年前，遇见紫霞仙子（朱茵 饰），被对方打上烙印成为对方的人，并发觉自己已变成孙悟空。
                                    "
海上钢琴师,9.2,朱塞佩·托纳多雷,1998-10-28(意大利),又名:,http://www.imdb.com/title/tt0120731,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511146807.jpg,"
                                　　本片讲述了一个钢琴天才传奇的一生。
                                    "
机器人总动员,9.3,安德鲁·斯坦顿,制片国家/地区:,2008-06-27(美国),http://www.pixar.com/feature-films/walle,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,"
                                　　公元2805年，人类文明高度发展，却因污染和生活垃圾大量增加使得地球不再适于人类居住。地球人被迫乘坐飞船离开故乡，进行一次漫长无边的宇宙之旅。临行前他们委托Buynlarge的公司对地球垃圾进行清理，该公司开发了名为WALL·E（Waste Allocation Loa d Lifters – Earth 地球废品分装员）的机器人担当此重任。
                                    "
楚门的世界,9.1,彼得·威尔,1998-06-05(美国),又名:,http://www.imdb.com/title/tt0120382,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,"
                                　　楚门（金•凯瑞 Jim Carrey 饰）是一个平凡得不能再平凡的人，除了一些有些稀奇的经历之外——初恋女友突然失踪、溺水身亡的父亲忽然似乎又出现在眼前，他和绝大多数30多岁的美国男人绝无异样。这令他倍感失落。他也曾试过离开自己生活了多年的地方，但总因种种理由而不能成行。
                                    "
放牛班的春天,9.2,克里斯托夫·巴拉蒂,2004-10-16(中国大陆),97 分钟,http://www.imdb.com/title/tt0372824,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,"
                                　　1949年的法国乡村，音乐家克莱门特（杰勒德•尊诺 饰）到了一间外号叫“塘低”的男子寄宿学校当助理教师。学校里的学生大部分都是难缠的问题儿童，体罚在这里司空见惯，学校的校长（弗朗西斯•贝尔兰德 饰）只顾自己的前途，残暴高压。
                                    "
三傻大闹宝莱坞,9.2,拉吉库马尔·希拉尼,语言:,2009-12-25(印度),http://www.imdb.com/title/tt1187043,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,"
                            "
忠犬八公的故事,9.2,拉斯·霍尔斯道姆,2010-03-12(英国),又名:,http://www.imdb.com/title/tt1028532,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg,"
                            "
肖申克的救赎,9.6,弗兰克·德拉邦特,1994-09-10(多伦多电影节),142 分钟,http://www.imdb.com/title/tt0111161,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,"
                            "
盗梦空间,9.3,克里斯托弗·诺兰,语言:,2010-07-16(美国),http://www.imdb.com/title/tt1375666,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,"
                            "
